,user,service,sum,value
100,qpzNDzybrsi,expresso,16.0,0.5
101,sZfLY,expresso,2.0,0.5
102,uhDooz5uD,expresso,2.0,0.001
103,uhDooz5uD,milk_coffee,25.0,1.0
104,vRXyI,capuccino,-2.0,0.001
105,vRXyI,expresso,1.0,0.375
106,vRXyI,long_coffee,6.0,1.0
107,vRXyI,milk_coffee,-2.0,0.001
108,ws0cho3,cortado,0.5,0.5
109,ws0cho3,decaffeinated,-2.0,0.001
110,ws0cho3,expresso,3.0,1.0
111,ws0cho3,hazelnut_cappuccino,0.0,0.4
112,ws0cho3,milk_coffee,0.5,0.5
113,ymETMF4M4,capuccino,41.0,1.0
114,ymETMF4M4,decaffeinated,2.0,0.001
115,ymETMF4M4,long_coffee,10.0,0.20512820512820512
116,ymETMF4M4,long_decaffeinated,4.0,0.05128205128205128
