user,service,value,contextValue,s
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1004
gKUuuzg9,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1004
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1004
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1005
5pVcV5V,hazelnut_cappuccino,1.0,1,http://ontologies/interactioncontext#interactionseq1005
5pVcV5V,hazelnut_cappuccino,1.0,t2,http://ontologies/interactioncontext#interactionseq1005
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1006
D6F0qp7s7,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1006
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1006
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1007
d4guBrpB,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1007
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1007
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1008
5pVcV5V,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1008
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1008
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1009
CuAgSlJwl,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1009
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1009
uhDooz5uD,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq101
uhDooz5uD,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq101
uhDooz5uD,milk_coffee,1.0,t2,http://ontologies/interactioncontext#interactionseq101
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1010
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1010
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1010
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1011
gKUuuzg9,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1011
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1011
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1012
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1012
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1012
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1013
93xlxT,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1013
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1013
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1014
5pVcV5V,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq1014
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1014
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1015
93xlxT,cortado decaffeinated,1.0,3,http://ontologies/interactioncontext#interactionseq1015
93xlxT,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1015
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1016
CuAgSlJwl,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1016
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1016
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1017
FmxgvxmU,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1017
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1017
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1018
gKUuuzg9,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq1018
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1018
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1019
D6F0qp7s7,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1019
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1019
ymETMF4M4,long_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq102
ymETMF4M4,long_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq102
ymETMF4M4,long_coffee,1.0,t2,http://ontologies/interactioncontext#interactionseq102
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1020
d4guBrpB,cortado decaffeinated,1.0,3,http://ontologies/interactioncontext#interactionseq1020
d4guBrpB,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1020
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1021
gKUuuzg9,milk_coffee,1.0,4,http://ontologies/interactioncontext#interactionseq1021
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1021
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1022
FmxgvxmU,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1022
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1022
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1023
CuAgSlJwl,milk_coffee,1.0,4,http://ontologies/interactioncontext#interactionseq1023
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1023
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1024
5pVcV5V,hazelnut_cappuccino,1.0,4,http://ontologies/interactioncontext#interactionseq1024
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1024
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1025
D6F0qp7s7,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1025
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1025
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1026
d4guBrpB,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1026
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1026
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1027
93xlxT,chocolate,1.0,4,http://ontologies/interactioncontext#interactionseq1027
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1027
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1028
5pVcV5V,hazelnut_cappuccino,1.0,0,http://ontologies/interactioncontext#interactionseq1028
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1028
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1029
FmxgvxmU,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1029
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1029
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq103
5pVcV5V,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq103
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq103
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1030
gKUuuzg9,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1030
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1030
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1031
d4guBrpB,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1031
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1031
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1032
CuAgSlJwl,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1032
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1032
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1033
D6F0qp7s7,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1033
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1033
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1034
93xlxT,chocolate,1.0,0,http://ontologies/interactioncontext#interactionseq1034
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1034
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1035
5pVcV5V,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1035
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1035
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1036
d4guBrpB,cortado decaffeinated,1.0,1,http://ontologies/interactioncontext#interactionseq1036
d4guBrpB,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1036
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1037
gKUuuzg9,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1037
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1037
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1038
CuAgSlJwl,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1038
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1038
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1039
FmxgvxmU,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1039
FmxgvxmU,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1039
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq104
gKUuuzg9,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq104
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq104
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1040
D6F0qp7s7,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1040
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1040
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1041
93xlxT,cortado decaffeinated,1.0,1,http://ontologies/interactioncontext#interactionseq1041
93xlxT,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1041
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1042
gKUuuzg9,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1042
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1042
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1043
CuAgSlJwl,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1043
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1043
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1044
5pVcV5V,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1044
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1044
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1045
d4guBrpB,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1045
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1045
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1046
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1046
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1046
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1047
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1047
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1047
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1048
93xlxT,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1048
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1048
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1049
gKUuuzg9,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1049
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1049
CkfZksM2rBrL,cortado,1.0,supervisor,http://ontologies/interactioncontext#interactionseq105
CkfZksM2rBrL,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq105
CkfZksM2rBrL,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq105
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1050
5pVcV5V,hazelnut_cappuccino,1.0,3,http://ontologies/interactioncontext#interactionseq1050
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1050
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1051
93xlxT,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq1051
93xlxT,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1051
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1052
CuAgSlJwl,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1052
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1052
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1053
FmxgvxmU,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1053
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1053
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1054
D6F0qp7s7,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1054
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1054
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1055
d4guBrpB,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1055
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1055
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1056
CuAgSlJwl,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1056
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1056
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1057
FmxgvxmU,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1057
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1057
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1058
gKUuuzg9,chocolate,1.0,4,http://ontologies/interactioncontext#interactionseq1058
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1058
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1059
D6F0qp7s7,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1059
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1059
Vhpk5shpkk,decaffeinated,1.0,supervisor,http://ontologies/interactioncontext#interactionseq106
Vhpk5shpkk,decaffeinated,1.0,1,http://ontologies/interactioncontext#interactionseq106
Vhpk5shpkk,decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq106
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1060
5pVcV5V,chocolate,1.0,4,http://ontologies/interactioncontext#interactionseq1060
5pVcV5V,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1060
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1061
93xlxT,cortado decaffeinated,1.0,4,http://ontologies/interactioncontext#interactionseq1061
93xlxT,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1061
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1062
d4guBrpB,cortado decaffeinated,1.0,4,http://ontologies/interactioncontext#interactionseq1062
d4guBrpB,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1062
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1063
CuAgSlJwl,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1063
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1063
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1064
gKUuuzg9,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1064
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1064
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1065
FmxgvxmU,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1065
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1065
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1066
93xlxT,chocolate,1.0,0,http://ontologies/interactioncontext#interactionseq1066
93xlxT,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1066
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1067
5pVcV5V,hazelnut_cappuccino,1.0,0,http://ontologies/interactioncontext#interactionseq1067
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1067
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1068
D6F0qp7s7,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1068
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1068
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1069
d4guBrpB,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1069
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1069
D6F0qp7s7,milk_coffee,1.0,administrative,http://ontologies/interactioncontext#interactionseq107
D6F0qp7s7,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq107
D6F0qp7s7,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq107
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1070
gKUuuzg9,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1070
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1070
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1071
CuAgSlJwl,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1071
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1071
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1072
5pVcV5V,hazelnut_cappuccino,1.0,1,http://ontologies/interactioncontext#interactionseq1072
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1072
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1073
93xlxT,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1073
93xlxT,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1073
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1074
FmxgvxmU,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1074
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1074
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1075
D6F0qp7s7,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1075
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1075
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1076
d4guBrpB,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1076
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1076
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1077
CuAgSlJwl,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1077
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1077
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1078
gKUuuzg9,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1078
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1078
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1079
93xlxT,cortado decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq1079
93xlxT,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1079
iia5SP5,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq108
iia5SP5,hazelnut_cappuccino,1.0,1,http://ontologies/interactioncontext#interactionseq108
iia5SP5,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq108
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1080
d4guBrpB,cortado decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq1080
d4guBrpB,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1080
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1081
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1081
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1081
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1082
5pVcV5V,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1082
5pVcV5V,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1082
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1083
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1083
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1083
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1084
CuAgSlJwl,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1084
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1084
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1085
gKUuuzg9,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1085
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1085
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1086
FmxgvxmU,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1086
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1086
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1087
d4guBrpB,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1087
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1087
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1088
5pVcV5V,hazelnut_cappuccino,1.0,3,http://ontologies/interactioncontext#interactionseq1088
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1088
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1089
D6F0qp7s7,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1089
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1089
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq109
5pVcV5V,hazelnut_cappuccino,1.0,1,http://ontologies/interactioncontext#interactionseq109
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq109
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1090
93xlxT,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq1090
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1090
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1091
FmxgvxmU,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1091
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1091
